,Time,Peaks Amplitude,Intervals
MeanVar1,59899.5055,0.15564522880054268,0.6039999999993597
MeanVar1,59900.1095,0.18321401783171976,0.15200000000186265
MeanVar1,59900.2615,0.1878997377665788,0.19799999999668216
MeanVar1,59900.4595,0.16059774060852183,0.2760000000052969
MeanVar1,59900.7355,0.17431335993579744,0.1529999999984284
MeanVar1,59900.8885,0.18289927136813794,0.20999999999912689
MeanVar1,59901.0985,0.15670241485564762,0.5319999999992433
MeanVar1,59901.6305,0.13999116887819207,0.6630000000004657
MeanVar1,59902.2935,0.18195679782040955,0.5380000000004657
MeanVar1,59902.8315,0.1594485126153475,0.5259999999980209
MeanVar1,59903.3575,0.1452520133159959,0.5679999999993015
MeanVar1,59903.9255,0.19679435180693017,0.37700000000040745
MeanVar1,59904.3025,0.14160396581642903,0.23400000000401633
MeanVar1,59904.5365,0.1407603185621974,0.7149999999965075
MeanVar1,59905.2515,0.16586165384822285,0.27300000000104774
MeanVar1,59905.5245,0.20844741807775727,0.36899999999877764
MeanVar1,59905.8935,0.17701040128096657,0.33299999999871943
MeanVar1,59906.2265,0.16176046539371428,0.23200000000360887
MeanVar1,59906.4585,0.2132952439577066,0.2679999999963911
MeanVar1,59906.7265,0.14034765125357856,0.8830000000016298
MeanVar1,59907.6095,0.1735024224246583,0.23400000000401633
MeanVar1,59907.8435,0.12798646171517353,0.17199999999866122
MeanVar1,59908.0155,0.13906360796554676,0.5819999999948777
MeanVar1,59908.597499999996,0.17655111724440326,0.23400000000401633
MeanVar1,59908.8315,0.1812145945093534,0.31199999999807915
MeanVar1,59909.1435,0.14782580732349063,0.23900000000139698
MeanVar1,59909.3825,0.14711509347476137,0.3389999999999418
MeanVar1,59909.7215,0.16764550219311503,0.2710000000006403
MeanVar1,59909.9925,0.13809340717590385,0.40499999999883585
MeanVar1,59910.3975,0.15222369213148942,0.41000000000349246
MeanVar1,59910.8075,0.1816843364632714,0.21899999999732245
MeanVar1,59911.0265,0.22991995106359925,0.5060000000012224
MeanVar1,59911.5325,0.16200314266956045,0.20300000000133878
MeanVar1,59911.7355,0.1967992862602274,0.521999999997206
MeanVar1,59912.2575,0.2160692246067557,0.6829999999972642
MeanVar1,59912.9405,0.2029786716715672,0.26900000000023283
MeanVar1,59913.2095,0.22304376181340074,0.5120000000024447
MeanVar1,59913.7215,0.18156428879649011,0.23900000000139698
MeanVar1,59913.9605,0.16089953976628002,0.6160000000018044
MeanVar1,59914.5765,0.26808673534838673,0.26599999999598367
MeanVar1,59914.8425,0.14175218171906465,0.37299999999959255
MeanVar1,59915.2155,0.18285241645583117,0.5910000000003492
MeanVar1,59915.8065,0.16496076853739355,0.2249999999985448
MeanVar1,59916.0315,0.23072794372194194,0.31000000000494765
MeanVar1,59916.3415,0.22622759236797652,0.4879999999975553
MeanVar1,59916.8295,0.21210529205187253,1.1109999999971478
MeanVar1,59917.9405,0.1426035518763143,0.2110000000029686
MeanVar1,59918.1515,0.1656091345500203,0.9150000000008731
MeanVar1,59919.0665,0.16975544202588624,1.059000000001106
MeanVar1,59920.1255,0.1531485209257587,0.6009999999951106
MeanVar1,59920.7265,0.16443794484653354,0.8590000000040163
MeanVar1,59921.5855,0.18176315494773546,0.8300000000017462
MeanVar1,59922.4155,0.18923737565055831,0.35099999999511056
MeanVar1,59922.7665,0.18784814623287482,0.8250000000043656
MeanVar1,59923.5915,0.23873729712818578,0.23699999999371357
MeanVar1,59923.828499999996,0.21080261202838677,0.6200000000026193
MeanVar1,59924.4485,0.15644086993705913,0.3669999999983702
MeanVar1,59924.8155,0.20648288373033372,0.397000000004482
MeanVar1,59925.2125,0.13466728267348602,0.4569999999948777
MeanVar1,59925.669499999996,0.20487195525841476,0.8650000000052387
MeanVar1,59926.5345,0.21539255307715602,0.532999999995809
MeanVar1,59927.0675,0.1664728418356472,0.5670000000027358
MeanVar1,59927.6345,0.316714549845091,0.17399999999906868
MeanVar1,59927.8085,0.17863786398349185,0.22800000000279397
MeanVar1,59928.0365,0.21840927818364544,0.3499999999985448
MeanVar1,59928.3865,0.20912323387612297,0.2750000000014552
MeanVar1,59928.6615,0.17006732237988714,0.17099999999481952
MeanVar1,59928.8325,0.16979288494199074,0.4010000000052969
MeanVar1,59929.2335,0.15505348721647433,0.2849999999962165
MeanVar1,59929.5185,0.19232261117124944,0.2249999999985448
MeanVar1,59929.7435,0.19480526421519462,0.45900000000256114
MeanVar1,59930.2025,0.19035637727419213,0.3179999999993015
MeanVar1,59930.5205,0.22587689061718058,0.24900000000343425
MeanVar1,59930.7695,0.13061855629681177,0.2989999999990687
MeanVar1,59931.0685,0.16318543677757508,0.25499999999738066
MeanVar1,59931.3235,0.19032048366706567,0.4680000000007567
MeanVar1,59931.7915,0.20829647196319778,0.43699999999807915
MeanVar1,59932.2285,0.17218428172434677,0.5280000000057044
MeanVar1,59932.7565,0.15482730316194585,1.0159999999959837
MeanVar1,59933.7725,0.21381229084215253,0.33400000000256114
MeanVar1,59934.1065,0.15586177590085712,0.3430000000007567
MeanVar1,59934.4495,0.20706100450345677,0.20799999999871943
MeanVar1,59934.6575,0.17123621046451074,0.3989999999976135
MeanVar1,59935.0565,0.1581946581903315,0.5720000000001164
MeanVar1,59935.6285,0.1617421633083164,0.8340000000025611
MeanVar1,59936.4625,0.22494842435008783,0.49299999999493593
MeanVar1,59936.9555,0.29371601284864535,0.37100000000646105
MeanVar1,59937.3265,0.2303260562591336,0.23599999999714782
MeanVar1,59937.5625,0.21218777511516837,0.2569999999977881
MeanVar1,59937.8195,0.18446617311839147,0.772000000004482
MeanVar1,59938.5915,0.1496994071739281,0.6149999999979627
MeanVar1,59939.2065,0.12119293294437064,0.3669999999983702
MeanVar1,59939.5735,0.1298318072278579,0.3930000000036671
MeanVar1,59939.9665,0.11403585707351505,2.3849999999947613
MeanVar1,59942.3515,0.11846459964656943,0.5489999999990687
MeanVar1,59942.900499999996,0.16369764756282335,0.20100000000093132
MeanVar1,59943.1015,0.14302929291846084,0.5910000000003492
MeanVar1,59943.6925,0.1379086531531697,0.7690000000002328
MeanVar1,59944.4615,0.22051750784613391,0.10700000000360887
MeanVar1,59944.5685,0.22797384257760472,0.5250000000014552
MeanVar1,59945.0935,0.16979818998825102,0.7219999999942956
MeanVar1,59945.8155,0.20291440111186998,0.3389999999999418
MeanVar1,59946.1545,0.1797489119159435,0.23900000000139698
MeanVar1,59946.3935,0.15946437029692265,0.2459999999991851
MeanVar1,59946.6395,0.1641338526404993,0.4440000000031432
MeanVar1,59947.0835,0.1155259913353428,0.48700000000098953
MeanVar1,59947.5705,0.1585431679375492,0.4209999999948195
MeanVar1,59947.9915,0.16279976736817126,0.47400000000197906
MeanVar1,59948.4655,0.16833807348083266,0.3510000000023865
MeanVar1,59948.8165,0.20752909633453506,0.4320000000006985
MeanVar1,59949.2485,0.13503814875089287,0.5149999999994179
MeanVar1,59949.7635,0.17847744841378665,0.3580000000001746
MeanVar1,59950.1215,0.17338885503504547,0.75
MeanVar1,59950.8715,0.1186762314377907,0.24199999999837019
MeanVar1,59951.1135,0.1858477910136367,0.2110000000029686
MeanVar1,59951.3245,0.1448396350161888,0.19900000000052387
MeanVar1,59951.5235,0.2460147446589256,0.31599999999889405
MeanVar1,59951.8395,0.18519419628104744,0.2599999999947613
MeanVar1,59952.0995,0.14528808783077335,1.0490000000063446
MeanVar1,59953.1485,0.19353757150168627,0.39099999999598367
MeanVar1,59953.5395,0.20762499303491017,0.5599999999976717
MeanVar1,59954.0995,0.1619665443861132,0.2760000000052969
MeanVar1,59954.3755,0.14496573318414713,0.216999999996915
MeanVar1,59954.5925,0.25977252696930364,0.4500000000043656
MeanVar1,59955.0425,0.20507863388184022,0.47999999999592546
MeanVar1,59955.5225,0.14545588023687805,0.24799999999959255
MeanVar1,59955.7705,0.14580689449002016,0.4500000000043656
MeanVar1,59956.2205,0.3542680630456128,0.2889999999970314
MeanVar1,59956.5095,0.3137173967493473,0.455999999998312
MeanVar1,59956.9655,0.24571926343315736,0.2819999999992433
MeanVar1,59957.2475,0.14850865934327342,0.36600000000180444
MeanVar1,59957.6135,0.14122463599797408,0.2459999999991851
MeanVar1,59957.8595,0.29616160685000714,0.10500000000320142
MeanVar1,59957.9645,0.26272452991015705,0.2239999999947031
MeanVar1,59958.1885,0.21656006567740854,0.6350000000020373
MeanVar1,59958.8235,0.19032895754057477,0.5049999999973807
MeanVar1,59959.328499999996,0.29781151537927664,1.0890000000072177
MeanVar1,59960.4175,0.17039116382696096,0.33699999999953434
MeanVar1,59960.7545,0.29739163591809836,0.20199999999749707
MeanVar1,59960.9565,0.2938640649346507,0.5100000000020373
MeanVar1,59961.4665,0.21927492847543395,0.5360000000000582
MeanVar1,59962.0025,0.13592482033269415,0.4879999999975553
MeanVar1,59962.4905,0.15951867671354136,0.40200000000186265
MeanVar1,59962.8925,0.17777711889748554,0.2249999999985448
MeanVar1,59963.1175,0.14075710031557298,0.29800000000250293
MeanVar1,59963.4155,0.13482357682666618,0.2889999999970314
MeanVar1,59963.7045,0.1337408099570799,0.7839999999996508
MeanVar1,59964.4885,0.1823566421640967,0.8930000000036671
MeanVar1,59965.3815,0.1703998636066846,0.28999999999359716
MeanVar1,59965.6715,0.16086123335081975,0.7240000000019791
MeanVar1,59966.3955,0.26792046609808806,0.20199999999749707
MeanVar1,59966.597499999996,0.17999120802966778,0.21000000000640284
MeanVar1,59966.8075,0.252714325954362,0.2669999999998254
MeanVar1,59967.0745,0.18426327476783882,0.6460000000006403
MeanVar1,59967.7205,0.21767484698449863,0.3989999999976135
MeanVar1,59968.1195,0.3007442408217522,0.43699999999807915
MeanVar1,59968.5565,0.18410009140327008,0.2870000000038999
MeanVar1,59968.8435,0.22248301294559947,0.2860000000000582
MeanVar1,59969.1295,0.1452445990226017,0.22699999999895226
MeanVar1,59969.3565,0.23317386826517378,0.260999999998603
MeanVar1,59969.6175,0.23233303308064307,0.2209999999977299
MeanVar1,59969.8385,0.24230678308780532,0.23000000000320142
MeanVar1,59970.0685,0.20576145545698568,0.2889999999970314
MeanVar1,59970.3575,0.2663694213885558,0.4510000000009313
MeanVar1,59970.8085,0.1852255070850142,0.2889999999970314
MeanVar1,59971.097499999996,0.10539584892261826,0.4530000000013388
MeanVar1,59971.5505,0.18611666485468908,0.6620000000038999
MeanVar1,59972.2125,0.19357900221719254,0.44799999999668216
MeanVar1,59972.6605,0.20342498407115933,0.19499999999970896
MeanVar1,59972.8555,0.18202674697270868,0.22299999999813735
MeanVar1,59973.078499999996,0.21637133997342908,0.41000000000349246
MeanVar1,59973.4885,0.2817437289505086,0.3260000000009313
MeanVar1,59973.8145,0.23761273283807124,0.5539999999964493
MeanVar1,59974.3685,0.1828600073669071,0.2870000000038999
MeanVar1,59974.6555,0.2860180261218581,0.41599999999743886
MeanVar1,59975.0715,0.1848777475202082,0.4830000000001746
MeanVar1,59975.5545,0.25787915733478173,0.2900000000008731
MeanVar1,59975.8445,0.20376272750484387,0.7240000000019791
MeanVar1,59976.5685,0.22667862677386766,0.38799999999901047
MeanVar1,59976.9565,0.4094320666766814,0.3629999999975553
MeanVar1,59977.3195,0.279499612576402,0.4599999999991269
MeanVar1,59977.7795,0.18134722002864043,0.2510000000038417
MeanVar1,59978.0305,0.21704727458755996,0.2180000000007567
MeanVar1,59978.2485,0.1608984784982311,0.3949999999967986
MeanVar1,59978.6435,0.2064015471544514,0.3139999999984866
MeanVar1,59978.9575,0.21000236918197376,0.2970000000059372
MeanVar1,59979.2545,0.262037500563403,0.45199999999749707
MeanVar1,59979.7065,0.2599073116071283,0.18800000000192085
MeanVar1,59979.8945,0.23506039934582992,0.45799999999871943
MeanVar1,59980.3525,0.19329236647292983,0.34900000000197906
MeanVar1,59980.7015,0.1337642027608495,0.2959999999948195
MeanVar1,59980.9975,0.1765700809232007,0.43500000000494765
MeanVar1,59981.4325,0.2163338602946183,0.1569999999992433
MeanVar1,59981.5895,0.1628953098234618,0.33699999999953434
MeanVar1,59981.9265,0.169277135411975,1.3249999999970896
MeanVar1,59983.2515,0.19193968834525232,0.6610000000000582
MeanVar1,59983.9125,0.22633740212245232,0.21199999999953434
MeanVar1,59984.1245,0.24541047816527647,0.272000000004482
MeanVar1,59984.3965,0.15866716024533395,0.5939999999973224
MeanVar1,59984.9905,0.19899115599856954,0.26600000000325963
MeanVar1,59985.2565,0.3627164928016536,0.19099999999889405
MeanVar1,59985.4475,0.233043140286615,0.26299999999901047
MeanVar1,59985.7105,0.3822865733685015,0.45500000000174623
MeanVar1,59986.1655,0.37688402924575104,0.2860000000000582
MeanVar1,59986.4515,0.20416229528234323,0.2860000000000582
MeanVar1,59986.7375,0.22554349677828894,0.3239999999932479
MeanVar1,59987.061499999996,0.22360521794703886,0.3150000000023283
MeanVar1,59987.3765,0.2802256869853468,0.419000000001688
MeanVar1,59987.7955,0.2425949916325108,0.7319999999963329
MeanVar1,59988.5275,0.235103792253973,0.20900000000256114
MeanVar1,59988.7365,0.21292298329092813,0.14500000000407454
MeanVar1,59988.8815,0.17985219761450913,0.39699999999720603
MeanVar1,59989.2785,0.19398167269248734,0.43800000000192085
MeanVar1,59989.7165,0.22740056171362988,0.23999999999796273
MeanVar1,59989.9565,0.25158958139701304,0.23799999999755528
MeanVar1,59990.1945,0.19191566296056906,0.4570000000021537
MeanVar1,59990.6515,0.20212470020181014,0.4269999999960419
MeanVar1,59991.078499999996,0.16345491384377095,0.4610000000029686
MeanVar1,59991.5395,0.2527912204342533,0.20500000000174623
MeanVar1,59991.7445,0.29758932842865415,0.536999999996624
MeanVar1,59992.2815,0.3707335081787919,0.21199999999953434
MeanVar1,59992.4935,0.23815423161361482,0.36200000000098953
MeanVar1,59992.8555,0.2765361929815766,0.3669999999983702
MeanVar1,59993.222499999996,0.25182545790988825,0.4790000000066357
MeanVar1,59993.7015,0.3214667093221457,0.3019999999960419
MeanVar1,59994.0035,0.2649106617232167,0.2180000000007567
MeanVar1,59994.2215,0.2063066363745501,0.19499999999970896
MeanVar1,59994.4165,0.2483757381126395,0.28699999999662396
MeanVar1,59994.703499999996,0.33478504807377296,0.21600000000034925
MeanVar1,59994.919499999996,0.22129105813914235,0.4150000000008731
MeanVar1,59995.3345,0.21548669356290348,0.24399999999877764
MeanVar1,59995.578499999996,0.1946352537642318,0.2910000000047148
MeanVar1,59995.8695,0.22257079129133056,0.22400000000197906
MeanVar1,59996.0935,0.1549523506435222,0.46899999999732245
MeanVar1,59996.5625,0.24082435723759316,0.18299999999726424
MeanVar1,59996.7455,0.28199473531791724,
